Zona,Precios,Direcciones,Dimensiones
Norte,"1,850,000",SICOMORROS 3,180 m² tot.2 rec.2 baños1 estac.
Norte,"5,200,000","TENIS 39 /WATERPOLO Y OLIMPICA, COL. RAQUET CLUB",345 m² tot.4 rec.4 baños2 estac.
Norte,"3,050,000",Villa Marroqui,198 m² tot.3 rec.3 baños2 estac.
Norte,"20,000,000",Calle Mar der Cortez,360 m² tot.5 rec.5 baños3 estac.
Norte,"6,000,000",Colosio final,180 m² tot.3 rec.3 baños
Norte,"4,650,000","Casa en Venta en La Coruña Residencial, Hermosillo",200 m² tot.3 rec.2 baños2 estac.
Norte,"7,000,000",Valle de lago,247 m² tot.3 rec.3 baños2 estac.
Norte,"1,620,000",Villa Bonita,132 m² tot.2 rec.1 baño1 estac.
Norte,"8,800,000",C. Otancahui,415 m² tot.3 rec.3 baños
Norte,"2,300,000",asturias residencial,137 m² tot.3 rec.2 baños2 estac.
Norte,"2,850,000",VENICE,117 m² tot.3 rec.2 baños2 estac.
Norte,"5,100,000",Cananea,60 m² tot.2 rec.3 baños2 estac.
Norte,"6,000,000",RETORNO VALLE DEL LAGO NUM 14,260 m² tot.3 rec.3 baños2 estac.
Norte,"3,900,000",Puente Carmona ,246 m² tot.3 rec.2 baños
Norte,"5,300,000","Calle Cananea 9, Parque Sonora Lomas de Angelopolis",180 m² tot.4 rec.4 baños2 estac.
Norte,"6,900,000",conquistador 4 alta california,342 m² tot.3 rec.2 baños2 estac.
Norte,"17,000,000",LAS LAJAS,607 m² tot.4 rec.4 baños3 estac.
Norte,"24,500,000",BAHIA DEL ENCANTO,716 m² tot.4 rec.5 baños3 estac.
Norte,"12,000,000",Santerra,962 m² tot.3 rec.3 baños4 estac.
Norte,"2,700,000",Villa Serena ,154 m² tot.2 rec.2 baños2 estac.
Norte,"3,750,000",Campogrande residencial,144 m² tot.3 rec.3 baños1 estac.
Norte,"16,000,000",Marina Real san carlos,411 m² tot.4 rec.3 baños2 estac.
Norte,"690,000",rio Papaloapan y Avenida 55,87 m² tot.2 rec.1 baño1 estac.
Norte,"750,000",san benito hermosillo sonora,256 m² tot.3 rec.2 baños2 estac.
Norte,"700,000",SONORA HERMOSILLO SANBENITO °125_8,262 m² tot.3 rec.2 baños2 estac.
Norte,"6,100,000",Blvd de los Volcanes Parque Sonora Lomas de Angelópolis,180 m² tot.4 rec.4 baños2 estac.
Norte,"650,000",SAN ANGEL HERMOSILLO SONORA,112 m² tot.3 rec.2 baños1 estac.
Norte,"986,000","Mar del Nte. 39,  Guaymas, Sonora",126 m² tot.1 rec.1 baño1 estac.
Norte,"320,000","VASCO NUÑEZ DE BALBOA 23, LOS ARCOS, HERMOSILLO, SONORA",218 m² tot.3 rec.2 baños2 estac.
Norte,"705,000",TURIN 24 VILLA DORADA NAVOJOA SONORA,140 m² tot.4 rec.3 baños
Norte,"330,000",AGUA CLARA  58 LOS MANANATIALES HERMOSILLO SONORA,172 m² tot.3 rec.2 baños1 estac.
Norte,"980,000","PASEO DE LA PAZ, VALLE GRANDE, HERMOSILLO, SONORA",371 m² tot.6 rec.4 baños2 estac.
Norte,"260,000","ALBATROS 4 QUINTAS GUAYMAS, GUAYMAS, SONORA",105 m² tot.3 rec.2 baños1 estac.
Norte,"650,000",SEVILLA 1 FRACCIONAMIENTO RES FUENTE DE PIEDRA,250 m² tot.3 rec.2 baños3 estac.
Norte,"850,000",SONORA HERMOSILLO VALLE VERDE PASEO DE LA COLINA 29,386 m² tot.4 rec.3 baños2 estac.
Norte,"625,000",SONORA HERMOSILLO LOS PORTALES PROVINCIA DE ALBACETE 30,150 m² tot.4 rec.3 baños2 estac.
